athlete_name,prestige_score
Krin Blegen,64.5
Sophia Rostad,64.5
Elena DeCaria,60.0
Bodhi Haines,60.0
Ana Backscheider,59.5
Ella Farro,59.5
Caroline Smith,56.0
Caitlyn Glunz,42.0
Eleanor Detlefsen,42.0
Addison Booms,42.0
Abby Biederman,42.0
Ana Maria Cardozo-Leigh,37.5
Madison Bowe,37.5
Elizabeth Glassmeyer,37.5
Devyn Hansen,35.0
Colleen Carpenter,35.0
Saylor Hurd,35.0
Malone Zahler,33.0
Lana Dayrell,30.0
Olivia Kurinsky,30.0
Addyson McGarry,30.0
Olivia Dickerson,29.1
Sadie Nistler,27.5
Kaitlyn Anderson,27.5
Mariella Lehrmann,27.0
Katie Dean,27.0
Maya Diederichs,27.0
Kate Bradford,27.0
Mary Jantz,26.4
Ilsa Grasse,26.4
Ella Jankowski,26.4
Elinor Vaughan,26.0
Bailey Walston,26.0
Samantha Jones,24.5
Rebecca Leonard,24.0
Klara Miller,24.0
Emily Mooshegian,24.0
Maya Roberts,24.0
Maddie Hall,24.0
Vivian McGuire,24.0
Julia Poulos,21.0
Hope Witzig,20.0
Sofia Suarez,20.0
Colleen Cooper,18.0
Genevieve Esten,18.0
Avaleen Foster,18.0
Alexandra Vaughan,18.0
Clara Loeffler,16.45
Eva Hendrickson,16.45
Ava Barlow,16.45
Katie Hansen,16.45
Claire Reynolds,15.75
Bianca Rhone,15.75
Lily Paciorek,15.75
Olivia Crowder,15.75
Molly Gilreath,15.5
Beatrice McAleese,15.0
Eleanor Lawler,15.0
Julianna Trudden,15.0
Lily Kalscheur,15.0
McKenzie Via,15.0
Reaghan Kiwala,15.0
Grace Penticoff,15.0
Isabel Van Kerckhove,14.0
Elise Van Kerckhove,14.0
Mollie Pooler,12.599999999999998
Trudie Hynes,12.599999999999998
Lara Fairfield,12.599999999999998
Kennedy Sindelar,12.599999999999998
Eliana Carman,12.599999999999998
Melrose Odem,12.599999999999998
Kathryn Hogan,12.599999999999998
Elizabeth Richlen,12.599999999999998
Margaret Schlick,12.0
Erin Korsak,10.5
Eva Tuason,10.5
Brooklyn TItus,10.5
Amia Baxter,10.5
Eleanor Lyons,10.499999999999998
Maria Smyth,10.499999999999998
Lara Licu,10.499999999999998
Ella Johnson,10.499999999999998
Lauren Wirts,8.75
Monica Powers,8.75
Helen Walker,8.75
Mira Halstead,8.75
Melissa Korn,8.5
Abigail Sullivan,8.399999999999999
Shiloh Adar,8.399999999999999
Ella Reichle,8.399999999999999
Natalie Zeratsky,8.399999999999999
Blythe Edwards,8.399999999999999
Lily Hilvers,7.0
Emma Gruelle,7.0
Lily Hoffman Suder,7.0
Evelyn Chamlin,6.299999999999999
Stella Eng,6.299999999999999
Lillian Freda,6.299999999999999
Megan Warner,6.299999999999999
Valentina Vianna,6.299999999999999
Mary Morris Vance,6.299999999999999
Andrea Wijpkema,6.299999999999999
Adela Corsi,6.299999999999999
Helen Higdon,5.25
Ellen Trautwein,5.25
Anna Fahey,5.25
Morghan Brown,5.25
Phoenix Moore,4.199999999999999
Taylor Guzek,4.199999999999999
Maya Steinhauer,4.199999999999999
Briana Rucker,4.199999999999999
Amory Vargo,3.0
Bela DeVore,3.0
Sophia Clark,3.0
Maureen McNamara,3.0
Keira Smith,3.0
Camille Miller,2.0999999999999996
Erica Fredrick,2.0999999999999996
Adeline Horner,2.0999999999999996
Maddie Baltzer,2.0999999999999996
Dawsyn Hensley,2.0999999999999996
Elizabeth Cherry,2.0999999999999996
Lily Burcham,2.0999999999999996
Betsy McFadden,2.0
Sophie Clendenning-Kim,2.0
Effie Grelli,2.0
Emmajean Grove,2.0
Penelope Karlson,1.5
Nadia Skop,1.5
Stella Taylor,1.5
Iris Byrd,1.5
Alexandra Jones,1.5
Ava Gruelle,1.5
Sofia Costea,1.0
Bee Tavares,1.0
savannah hay,1.0
Victoria Strunk,1.0
Alana Brun,0.0
Adelaide Nelson,0.0
Alexandra Hatcher,0.0
Abigail Layne,0.0
Aiden Tavits,0.0
Emmalee Poulter,0.0
Elise McIntyre,0.0
Idgie Simmons,0.0
Daisy McKinniss,0.0
Elise Kramer,0.0
Elizabeth Cornelius,0.0
Claire Arzola,0.0
Mary Kaufman,0.0
Marlie Chessman,0.0
Madeline Tarr,0.0
Morgan Drummond,0.0
Sarah Zakarneh,0.0
Riley Harris,0.0
Rhea Kapoor,0.0
Simone Penca,0.0
